movie_title,release_date,genre,mpaa_rating,total_gross,inflation_adjusted_gross,poster_url
The Jungle Book,1967-10-18,Musical,Not Rated,141843000,789612346,https://image.tmdb.org/t/p/w200/9BgcTVV43dZ8A1TpuXWkuNTXtfI.jpg
Blackbeard's Ghost,1968-02-08,Comedy,,21540050,138612686,https://image.tmdb.org/t/p/w200/bEMEjagTsdkUi7Jzxe0lQsquD7J.jpg
The Aristocats,1970-04-24,Musical,G,55675257,255161499,https://image.tmdb.org/t/p/w200/1BVOSmQUhphMgnTxnXyfQ9tL1Sc.jpg
The Boatniks,1970-07-01,Comedy,,18607492,101200742,https://image.tmdb.org/t/p/w200/lcLnRdk7BtdTSKGJPjzIYQRANs8.jpg
Bedknobs and Broomsticks,1971-10-07,Musical,,17871174,91305448,https://image.tmdb.org/t/p/w200/1BBzsThIZ06UmjZ3rChYGZhJtFQ.jpg
The Apple Dumpling Gang,1975-07-01,Comedy,,31916500,131246872,https://image.tmdb.org/t/p/w200/cSbRtW2rSpz6AxS4BwtunpFHma.jpg
Freaky Friday,1977-01-21,Comedy,,25942000,98067733,https://image.tmdb.org/t/p/w200/vQljMYQKVApQFXfTXKt9J8diVLG.jpg
The Many Adventures of Winnie the Pooh,1977-03-11,,,0,0,https://image.tmdb.org/t/p/w200/2xwaFVLv5geVrFd81eUttv7OutF.jpg
The Rescuers,1977-06-22,Adventure,,48775599,159743914,https://image.tmdb.org/t/p/w200/9jpDjrRyvv9Nw0piXOpHHQTfxw9.jpg
Herbie Goes to Monte Carlo,1977-06-24,,,28000000,105847527,https://image.tmdb.org/t/p/w200/4gMplOTJWAj1oNrv0QJG6SGhBNQ.jpg
The Black Hole,1979-12-21,,,35841901,120377374,https://image.tmdb.org/t/p/w200/9Y0uuPVDsE8AePwXg2gATWGFKxS.jpg
Midnight Madness,1980-02-08,,,2900000,9088096,https://image.tmdb.org/t/p/w200/n4WP23kmCYQ2VjcLgtgPRrQ7fxX.jpg
The Last Flight of Noah’s Ark,1980-06-25,,,11000000,34472116,https://image.tmdb.org/t/p/w200/f8fwghn06GmErA71Oepje1FaSBf.jpg
The Devil and Max Devlin,1981-01-01,,,16000000,48517980,https://image.tmdb.org/t/p/w200/b5XOONi82ThL4r5K20BKsWIhmi6.jpg
Amy,1981-03-20,Drama,,0,0,https://image.tmdb.org/t/p/w200/nCSMHZR94JyDCbjNxyxg0FIJZkY.jpg
The Fox and the Hound,1981-07-10,Comedy,,43899231,133118889,https://image.tmdb.org/t/p/w200/aC3k6XBaYnulGSkK8263ABjU3Md.jpg
Condorman,1981-08-07,Action,,0,0,https://image.tmdb.org/t/p/w200/wRe9kAvjN5IGAjPd0oCKhjyQDt0.jpg
Night Crossing,1982-02-05,Drama,,4500000,12903059,https://image.tmdb.org/t/p/w200/t0m54hI5yUK5lFJENP4yMoyrFfi.jpg
Tron,1982-07-09,Action,,26918576,77184895,https://image.tmdb.org/t/p/w200/zwSFEczP7AzqugAHHIX3zHniT0t.jpg
Tex,1982-11-19,Drama,,7199408,20643199,https://image.tmdb.org/t/p/w200/7WIIIZJ1iv2UCbYDiLHeGr1LOGV.jpg
Trenchcoat,1983-03-11,Comedy,,4304286,11519089,https://image.tmdb.org/t/p/w200/zqHQRT0TZkDaLgJerIyK6qhOmwg.jpg
Something Wicked This Way Comes,1983-04-29,Horror,,5656087,15136765,https://image.tmdb.org/t/p/w200/94dMO6kAawyFUk0sCDGIjAnchED.jpg
Never Cry Wolf,1983-10-07,Drama,,27668764,70669955,https://image.tmdb.org/t/p/w200/e61tGxVtobTQuFPmAC7xWwdC4O1.jpg
Running Brave,1983-11-04,Drama,,1204595,3223725,https://image.tmdb.org/t/p/w200/pcvTmz4ea0C1NiMt2my3FPgFgIg.jpg
Splash,1984-03-09,Comedy,PG,62599495,157057661,https://image.tmdb.org/t/p/w200/7FutTsMWBwVhjk1Ujf1wtndUVZh.jpg
Country,1984-09-29,Drama,,8400000,21075000,https://image.tmdb.org/t/p/w200/vPPlL0baImQtMQrvJflMz0qD0PM.jpg
Baby: Secret of the Lost Legend,1985-03-22,Adventure,,14276095,33900697,https://image.tmdb.org/t/p/w200/AvIT5XHXrxeNHxTHmyRalm7tfSM.jpg
Return to Oz,1985-06-21,Adventure,,10618813,25215934,https://image.tmdb.org/t/p/w200/7PfURFHpAQuWQVlAL9VFctRVgDA.jpg
